go test -benchmem -run=xxx -bench=BenchmarkQueueSinglePacketBlockingDiffNo -timeout 60m
goos: linux
goarch: amd64
pkg: github.com/scionproto/scion/go/border/qos
BenchmarkQueueSinglePacketBlockingDiffNo/Len207-8       	     330	   3698618 ns/op	    9957 B/op	     207 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len208-8       	     328	   3713186 ns/op	   10005 B/op	     208 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len209-8       	     302	   3636301 ns/op	   10055 B/op	     209 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len210-8       	     298	   3702269 ns/op	   10103 B/op	     210 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len211-8       	     310	   3712376 ns/op	   10150 B/op	     211 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len212-8       	     302	   3690762 ns/op	   10199 B/op	     212 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len213-8       	     303	   3853809 ns/op	   10249 B/op	     213 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len214-8       	     330	   3810662 ns/op	   10293 B/op	     214 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len215-8       	     304	   3865616 ns/op	   10367 B/op	     215 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len216-8       	     314	   3772794 ns/op	   10391 B/op	     216 allocs/op
